Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
VAV2	ENSG00000160293	"Vav guanine nucleotide exchange factor 2"	P52735	"Evidence at protein level"			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 70: Non-specific - Protein processing"	1.9	5.5	1.8			"not detected"	"not detected"
VBP1	ENSG00000155959	"VHL binding protein 1"	P61758	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 25: Non-specific - Basic cellular processes"	95.1	132.4	28.9	2469027.3	4234351.0	low	low
VCAM1	ENSG00000162692	"Vascular cell adhesion molecule 1"	P19320	"Evidence at protein level"	"Secreted to blood"	"Cell adhesion"		"Cluster 66: Lymphoid tissue - Immune response"	2.8	0.0	0.9			"not detected"	"not detected"
VCAN	ENSG00000038427	Versican	P13611	"Evidence at protein level"	"Secreted to blood"	"No annotated function"	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 14: Adipose tissue - Angiogenesis"	3.7	0.0	11.3	3049152.2		"not detected"	"not detected"
VCL	ENSG00000035403	Vinculin	P18206	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 12: Smooth muscle tissue - ECM organization"	129.2	12.5	3.7	515272346.8	283590586.9	low	low
VCP	ENSG00000165280	"Valosin containing protein"	P55072	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 68: Non-specific - Basic cellular processes"	198.2	117.3	13.5	192638841.9	225788991.5	medium	medium
VCPIP1	ENSG00000175073	"Valosin containing protein interacting protein 1"	Q96JH7	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 44: Bone marrow - Nuclear processes"	4.9	39.6	6.5	1021321.7	229074.7		
VCPKMT	ENSG00000100483	"Valosin containing protein lysine methyltransferase"	Q9H867	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 64: Non-specific - Transcription"	2.1	26.7	0.1			low	low
VDAC1	ENSG00000213585	"Voltage dependent anion channel 1"	P21796	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 52: Non-specific - Cellular respiration"	979.5	77.4	7.8	172320809.2	486302112.8	high	high
VDAC2	ENSG00000165637	"Voltage dependent anion channel 2"	P45880	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 41: Striated muscle - Muscle contraction"	515.8	101.2	14.1	228404649.0	225466147.6	medium	medium
VDAC3	ENSG00000078668	"Voltage dependent anion channel 3"	Q9Y277	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 62: Skeletal muscle - Muscle contraction"	857.0	216.6	26.0	63503463.8	201300185.9	low	low
VDR	ENSG00000111424	"Vitamin D receptor"	P11473	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 69: Parathyroid gland - Mixed function"	2.7	0.6	0.2				
VEGFA	ENSG00000112715	"Vascular endothelial growth factor A"	P15692	"Evidence at protein level"	"Secreted to blood"	"Growth factor"		"Cluster 48: Ciliated tissues - Cilium organization"	211.8	49.1	4.7			medium	medium
VEGFB	ENSG00000173511	"Vascular endothelial growth factor B"	P49765	"Evidence at protein level"	"Secreted to blood"	"Growth factor"	"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 74: Non-specific - Signal transduction"	69.5	10.0	0.3				
VEGFC	ENSG00000150630	"Vascular endothelial growth factor C"	P49767	"Evidence at protein level"	"Secreted to blood"	"Growth factor"		"Cluster 14: Adipose tissue - Angiogenesis"	2.7	0.0	0.0				
VEGFD	ENSG00000165197	"Vascular endothelial growth factor D"	O43915	"Evidence at protein level"	"Secreted to blood"	"Growth factor"		"Cluster 14: Adipose tissue - Angiogenesis"	16.5	0.4	0.2				
VEZF1	ENSG00000136451	"Vascular endothelial zinc finger 1"	Q14119	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 40: Non-specific - Mixed function"	44.7	46.2	4.5	1131767.5		low	low
VEZT	ENSG00000028203	"Vezatin, adherens junctions transmembrane protein"	Q9HBM0	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 19: Skeletal muscle - Striated muscle contraction"	20.6	77.2	0.6		40117.0	medium	medium
VGLL2	ENSG00000170162	"Vestigial like family member 2"	Q8N8G2	"Evidence at protein level"				"Cluster 19: Skeletal muscle - Striated muscle contraction"	121.3	0.0	0.0				
VGLL3	ENSG00000206538	"Vestigial like family member 3"	A8MV65	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	1.6	0.0	0.0			"not detected"	"not detected"
VGLL4	ENSG00000144560	"Vestigial like family member 4"	Q14135	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 75: Ovary - Mixed function"	14.8	62.0	2.7			"not detected"	"not detected"
VHL	ENSG00000134086	"Von Hippel-Lindau tumor suppressor"	P40337	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 66: Lymphoid tissue - Immune response"	10.0	46.1	10.9			high	high
VILL	ENSG00000136059	"Villin like"	O15195	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 77: Intestine - Digestion"	1.2	2.1	1.7			"not detected"	"not detected"
VIM	ENSG00000026025	Vimentin	P08670	"Evidence at protein level"			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 12: Smooth muscle tissue - ECM organization"	350.9	4.2	23.7	1440647045.0	91519631.0	"not detected"	"not detected"
VIP	ENSG00000146469	"Vasoactive intestinal peptide"	P01282	"Evidence at protein level"	"Secreted to blood"	Hormone		"Cluster 34: Lymphoid tissue - Adaptive immune response"	1.3	0.0	0.0			medium	medium
VIPAS39	ENSG00000151445	"VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog"	Q9H9C1	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 39: Testis - Nuclear processes"	13.1	7.9	1.9	432890.6		low	low
VIPR1	ENSG00000114812	"Vasoactive intestinal peptide receptor 1"	P32241	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 77: Intestine - Digestion"	1.1	0.7	0.1			medium	medium
VIPR2	ENSG00000106018	"Vasoactive intestinal peptide receptor 2"	P41587	"Evidence at protein level"			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 70: Non-specific - Protein processing"	6.9	0.2	0.0			medium	medium
VIRMA	ENSG00000164944	"Vir like m6A methyltransferase associated"	Q69YN4	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 61: Non-specific - Transcription"	8.2	80.7	3.7	1322513.3		low	low
VIT	ENSG00000205221	Vitrin	Q6UXI7	"Evidence at protein level"	"Secreted to extracellular matrix"	Other	"Cluster 24: Non-specific - Transcription"	"Cluster 12: Smooth muscle tissue - ECM organization"	11.9	0.1	0.0				
VKORC1	ENSG00000167397	"Vitamin K epoxide reductase complex subunit 1"	Q9BQB6	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 31: Liver - Metabolism & Coagulation"	39.0	0.3	0.0			"not detected"	"not detected"
VKORC1L1	ENSG00000196715	"Vitamin K epoxide reductase complex subunit 1 like 1"	Q8N0U8	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 75: Ovary - Mixed function"	20.3	144.3	3.3	1310456.6	281436.1	"not detected"	"not detected"
VLDLR	ENSG00000147852	"Very low density lipoprotein receptor"	P98155	"Evidence at protein level"				"Cluster 61: Non-specific - Transcription"	12.3	0.1	0.0	3837571.9		low	low
VMA21	ENSG00000160131	"Vacuolar ATPase assembly factor VMA21"	Q3ZAQ7	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 1: Choroid plexus - Transmembrane transport"	7.5	73.8	13.7	263301.9			
VMAC	ENSG00000187650	"Vimentin type intermediate filament associated coiled-coil protein"	Q2NL98	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 82: Salivary gland - Secretion"	2.7	0.1	0.0				
VMO1	ENSG00000182853	"Vitelline membrane outer layer 1 homolog"	Q7Z5L0	"Evidence at protein level"	"Secreted to blood"	"No annotated function"	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 1: Choroid plexus - Transmembrane transport"	10.7	0.0	0.3				
VMP1	ENSG00000062716	"Vacuole membrane protein 1"	Q96GC9	"Evidence at protein level"			"Cluster 28: Neutrophils - Unknown function"	"Cluster 28: Liver & Adrenal gland - Secretion"	20.4	112.8	12.3	194047.1		medium	medium
VN1R1	ENSG00000178201	"Vomeronasal 1 receptor 1"	Q9GZP7	"Evidence at transcript level"				"Cluster 46: Brain & retina - Neuronal signaling"	2.2	0.0	0.0				
VOPP1	ENSG00000154978	"VOPP1 WW domain binding protein"	Q96AW1	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 32: Retina & Lymphoid tissues - Signaling"	45.6	75.6	7.0				
VPREB3	ENSG00000128218	"V-set pre-B cell surrogate light chain 3"	Q9UKI3	"Evidence at protein level"	"Intracellular and membrane"	"No annotated function"	"Cluster 14: Non-specific - Unknown function"	"Cluster 18: Lymphoid tissue - Immune response"	1.6	0.0	0.2			"not detected"	"not detected"
VPS11	ENSG00000160695	"VPS11 core subunit of CORVET and HOPS complexes"		"Evidence at transcript level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 64: Non-specific - Transcription"	21.4	1.6	0.0			low	low
VPS13A	ENSG00000197969	"Vacuolar protein sorting 13 homolog A"	Q96RL7	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 44: Bone marrow - Nuclear processes"	13.8	221.0	15.3	10077371.0	10865899.8	"not detected"	"not detected"
VPS13B	ENSG00000132549	"Vacuolar protein sorting 13 homolog B"	Q7Z7G8	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 61: Non-specific - Transcription"	2.5	308.0	40.4				
VPS13C	ENSG00000129003	"Vacuolar protein sorting 13 homolog C"	Q709C8	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 32: Retina & Lymphoid tissues - Signaling"	7.4	84.7	7.4	8050037.2	3837171.3	medium	medium
VPS13D	ENSG00000048707	"Vacuolar protein sorting 13 homolog D"	Q5THJ4	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 24: Non-specific - Transcription"	20.0	192.2	23.1	3883552.0	927013.7	"not detected"	"not detected"
VPS16	ENSG00000215305	"VPS16 core subunit of CORVET and HOPS complexes"	Q9H269	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 49: Non-specific - Transcription"	18.4	16.1	4.7	8118856.2	20853355.7	low	low
VPS18	ENSG00000104142	"VPS18 core subunit of CORVET and HOPS complexes"	Q9P253	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 52: Non-specific - Cellular respiration"	12.3	4.2	1.6	18746424.5		"not detected"	"not detected"
VPS25	ENSG00000131475	"Vacuolar protein sorting 25 homolog"	Q9BRG1	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 11: Esophagus - Basic cellular processes"	50.1	54.4	3.3	7048672.9	5999048.4	low	low
VPS26A	ENSG00000122958	"VPS26 retromer complex component A"	O75436	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 63: Non-specific - Basic cellular processes"	28.8	82.9	4.9	7455498.2	3109017.7	"not detected"	"not detected"
VPS26B	ENSG00000151502	"VPS26 retromer complex component B"	Q4G0F5	"Evidence at protein level"			"Cluster 45: Eosinophils - Unknown function"	"Cluster 2: Non-specific - Mixed function"	16.1	22.7	9.1	755163.6		"not detected"	"not detected"
VPS26C	ENSG00000157538	"VPS26 endosomal protein sorting factor C"	O14972	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 76: Non-specific - Metabolism"	32.0	25.5	0.2	961787.7	513366.0	low	low
VPS28	ENSG00000160948	"VPS28 subunit of ESCRT-I"	Q9UK41	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 68: Non-specific - Basic cellular processes"	182.0	37.6	30.0	189072.4	991693.5	medium	medium
VPS29	ENSG00000111237	"VPS29 retromer complex component"	Q9UBQ0	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 63: Non-specific - Basic cellular processes"	120.9	140.9	16.2	14022621.4	7696283.7	medium	medium
VPS33A	ENSG00000139719	"VPS33A core subunit of CORVET and HOPS complexes"	Q96AX1	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 32: Retina & Lymphoid tissues - Signaling"	8.1	2.4	0.2	2933087.8	298367.4		
VPS33B	ENSG00000184056	"VPS33B late endosome and lysosome associated"	Q9H267	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 2: Non-specific - Mixed function"	4.2	0.5	0.2	4956783.8		low	low
VPS35	ENSG00000069329	"VPS35 retromer complex component"	Q96QK1	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 40: Non-specific - Mixed function"	3.5	87.1	5.5	43728669.1	15230171.7	"not detected"	"not detected"
VPS35L	ENSG00000103544	"VPS35 endosomal protein sorting factor like"	Q7Z3J2	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 61: Non-specific - Transcription"	20.1	38.4	3.0	4545697.5	5073756.8	"not detected"	"not detected"
VPS36	ENSG00000136100	"Vacuolar protein sorting 36 homolog"	Q86VN1	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 61: Non-specific - Transcription"	21.9	40.4	1.8	7590726.4	4205856.8	"not detected"	"not detected"
VPS37A	ENSG00000155975	"VPS37A subunit of ESCRT-I"	Q8NEZ2	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 42: Retina - Visual perception"	38.6	24.3	6.8	1453248.9	952461.7	medium	medium
VPS37B	ENSG00000139722	"VPS37B subunit of ESCRT-I"	Q9H9H4	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 11: Esophagus - Basic cellular processes"	9.6	74.1	3.3	30382.0		low	low
VPS37C	ENSG00000167987	"VPS37C subunit of ESCRT-I"	A5D8V6	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 24: Non-specific - Transcription"	23.6	13.6	7.6	843489.1	1554465.7	medium	medium
VPS37D	ENSG00000176428	"VPS37D subunit of ESCRT-I"	Q86XT2	"Evidence at protein level"				"Cluster 36: Brain & Liver - Signaling"	1.3	0.0	0.0				
VPS39	ENSG00000166887	"VPS39 subunit of HOPS complex"	Q96JC1	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 63: Non-specific - Basic cellular processes"	34.5	29.1	3.1	2092055.0	205447.4		
VPS41	ENSG00000006715	"VPS41 subunit of HOPS complex"	P49754	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 61: Non-specific - Transcription"	7.3	66.5	7.0	680426.4	190081.6	medium	medium
VPS45	ENSG00000136631	"Vacuolar protein sorting 45 homolog"	Q9NRW7	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 74: Non-specific - Signal transduction"	19.1	28.5	1.9	2542373.0	638074.6	medium	medium
VPS4A	ENSG00000132612	"Vacuolar protein sorting 4 homolog A"	Q9UN37	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 19: Skeletal muscle - Striated muscle contraction"	54.0	41.9	8.3	4367948.8	13813340.9	low	low
VPS4B	ENSG00000119541	"Vacuolar protein sorting 4 homolog B"	O75351	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 11: Esophagus - Basic cellular processes"	10.2	46.7	7.2	5693594.4	401701.8	"not detected"	"not detected"
VPS50	ENSG00000004766	"VPS50 subunit of EARP/GARPII complex"	Q96JG6	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 38: Non-specific - Basic cellular processes"	3.7	107.6	7.7	676235.3		medium	medium
VPS51	ENSG00000149823	"VPS51 subunit of GARP complex"	Q9UID3	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 24: Non-specific - Transcription"	83.5	59.0	9.8	1695156.1	377323.7	medium	medium
VPS52	ENSG00000223501	"VPS52 subunit of GARP complex"	Q8N1B4	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 24: Non-specific - Transcription"	36.0	1.4	0.0	3115715.3	566743.7	"not detected"	"not detected"
VPS53	ENSG00000141252	"VPS53 subunit of GARP complex"	Q5VIR6	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 44: Bone marrow - Nuclear processes"	5.3	3.5	0.0	774044.3	2457300.0	medium	medium
VPS54	ENSG00000143952	"VPS54 subunit of GARP complex"	Q9P1Q0	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 38: Non-specific - Basic cellular processes"	8.5	64.9	6.5				
VPS72	ENSG00000163159	"Vacuolar protein sorting 72 homolog"	Q15906	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 24: Non-specific - Transcription"	56.8	28.2	1.8				
VPS8	ENSG00000156931	"VPS8 subunit of CORVET complex"	Q8N3P4	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 41: Striated muscle - Muscle contraction"	26.9	81.3	9.1	659820.8		"not detected"	"not detected"
VPS9D1	ENSG00000075399	"VPS9 domain containing 1"	Q9Y2B5	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 64: Non-specific - Transcription"	10.9	8.7	0.2			low	low
VRK1	ENSG00000100749	"VRK serine/threonine kinase 1"	Q99986	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation"	4.5	268.2	19.0	1192982.9		"not detected"	"not detected"
VRK2	ENSG00000028116	"VRK serine/threonine kinase 2"	Q86Y07	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	14.0	185.4	9.9			medium	medium
VRK3	ENSG00000105053	"VRK serine/threonine kinase 3"	Q8IV63	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 47: Testis - Mixed function"	25.4	29.3	10.4	84783.5	33306.1	low	low
VSIG10	ENSG00000176834	"V-set and immunoglobulin domain containing 10"	Q8N0Z9	"Evidence at protein level"				"Cluster 7: Small intestine - Absorption and Digestion"	15.9	8.4	0.0			"not detected"	"not detected"
VSIG2	ENSG00000019102	"V-set and immunoglobulin domain containing 2"	Q96IQ7	"Evidence at protein level"				"Cluster 17: Intestine - Digestion"	2.1	0.0	0.1			"not detected"	"not detected"
VSIG4	ENSG00000155659	"V-set and immunoglobulin domain containing 4"	Q9Y279	"Evidence at protein level"			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 14: Adipose tissue - Angiogenesis"	7.8	0.0	0.9			"not detected"	"not detected"
VSIR	ENSG00000107738	"V-set immunoregulatory receptor"	Q9H7M9	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 66: Lymphoid tissue - Immune response"	7.5	4.9	5.4				
